Ticker,Name,Sector,Price,MA50,MA200,Score,FinScore,TechScore,MktScore,SectorScore,PatternScore,MA20Up,AccumVol,HigherLows,Consolidation,YEY,PER,PBR,RSI,Marcap,Amount5D,SectorSource
005380,현대차,운송장비·부품,220000,213440.0,204729.5,0.9285,0.9008,0.9583,0.8397,1.0,0.4,True,False,True,False,False,4.62,0.53,56.25,45046708520000,128150350107.6,kis
000270,기아,운송장비·부품,105800,101692.0,96628.5,0.9192,0.8825,0.9447,0.8397,1.0,0.4,True,False,True,False,False,4.25,0.75,58.3,41662904766000,65318106440.0,kis
028260,삼성물산,유통,167800,166834.0,135830.0,0.9056,0.7889,0.9726,0.8397,1.0,0.4,False,False,True,True,False,12.31,0.88,54.1,28522064083200,47034624150.0,kis
033780,KT&G,음식료·담배,134700,134228.0,116873.5,0.8932,0.7239,0.9836,0.8397,1.0,0.4,True,False,True,False,False,11.91,1.57,47.54,16441818345900,46208379330.0,kis
012330,현대모비스,운송장비·부품,318500,297710.0,264480.0,0.8927,0.8661,0.8807,0.8397,1.0,0.6,True,False,True,False,True,7.09,0.63,67.89,29236737439000,77559489712.0,kis
009540,HD한국조선해양,금융,406500,352130.0,266228.5,0.8061,0.4958,0.8978,0.8397,1.0,0.6,True,True,True,False,False,24.52,2.59,65.33,28769271654000,244450272500.0,kis
086790,하나금융지주,금융,82200,86486.0,68288.5,0.8037,0.8809,0.6157,0.8397,1.0,0.0,False,False,False,False,False,6.51,0.54,42.36,23404303675800,58356608876.0,kis
402340,SK스퀘어,금융,149000,157196.0,109836.0,0.803,0.8423,0.6415,0.8397,1.0,0.2,False,False,True,False,False,5.37,1.04,53.78,19748587842000,70572139890.0,kis
034730,SK,금융,207000,201594.0,157461.0,0.8021,0.455,0.9155,0.8397,1.0,0.4,True,False,True,False,False,0.0,0.45,62.67,15008059521000,52871927440.0,kis
105560,KB금융,금융,108200,112598.0,94410.5,0.7989,0.846,0.6271,0.8397,1.0,0.2,False,False,True,False,False,8.4,0.7,44.06,41274199544600,90403105430.0,kis
055550,신한지주,금융,65300,66742.0,54823.5,0.7984,0.8646,0.6124,0.8397,1.0,0.2,False,False,False,True,False,7.74,0.58,41.86,31702819190200,99199931930.0,kis
000810,삼성화재,금융,444000,447360.0,393540.0,0.7961,0.788,0.6604,0.8397,1.0,0.4,True,False,True,False,False,9.1,1.21,50.94,20428952820000,51370728350.0,kis
006800,미래에셋증권,금융,19150,19893.4,12618.15,0.7875,0.7831,0.6393,0.8397,1.0,0.6,True,False,True,True,False,12.39,0.93,54.1,10921559213200,50569455439.0,kis
035720,카카오,IT서비스,62500,60718.0,45612.5,0.7677,0.229,0.9785,0.8397,1.0,0.6,True,True,False,True,False,496.03,2.71,53.22,27632799937500,115670612550.0,kis
035420,NAVER,IT서비스,214500,240870.0,211518.5,0.7432,0.7061,0.5679,0.8397,1.0,0.0,False,False,False,False,False,16.89,1.25,35.19,33644890851000,146993203950.0,kis
352820,하이브,오락·문화,287000,280970.0,246445.5,0.7418,0.129,0.9761,0.8397,1.0,0.6,True,True,True,False,False,1275.56,3.71,53.58,11954151839000,70247959350.0,kis
010620,HD현대미포,운송장비·부품,204500,193534.0,149347.0,0.7288,0.102,0.9581,0.8397,1.0,0.2,False,False,True,False,False,77.29,3.98,56.29,8168169470500,205094971490.0,kis
064350,현대로템,운송장비·부품,192100,191472.0,115486.5,0.703,0.0,0.9573,0.8397,1.0,0.2,False,False,True,False,False,51.53,10.25,56.4,20966234485300,126493964140.0,kis
047810,한국항공우주,운송장비·부품,95200,91148.0,75470.0,0.7012,0.0,0.9521,0.8397,1.0,0.4,True,False,True,False,False,53.94,5.44,57.19,9279630186400,46511475490.0,kis
003230,삼양식품,음식료·담배,1566000,1404700.0,982250.0,0.6996,0.0706,0.8973,0.8397,1.0,0.4,True,False,True,False,False,42.94,14.3,65.4,11796701490000,86337898700.0,kis
005930,삼성전자,전기전자,69700,66530.0,58428.5,0.698,0.7392,0.9864,0.8397,0.0,0.0,False,False,False,False,False,14.08,1.2,52.04,412598763163400,828928881720.0,kis
042660,한화오션,운송장비·부품,112000,94556.0,70042.0,0.6976,0.0,0.942,0.8397,1.0,0.2,False,False,True,False,False,67.96,7.06,58.71,34318300128000,369780054500.0,kis
011070,LG이노텍,전기전자,169100,156326.0,156308.0,0.6916,0.8359,0.8992,0.8397,0.0,0.8,True,True,True,False,True,8.91,0.75,65.13,4002107793700,76676369160.0,kis
071970,HD현대마린엔진,제조,92000,63632.0,37922.9,0.6881,0.1259,0.8248,0.8397,1.0,0.6,True,False,True,False,True,37.41,10.09,76.27,3120777540000,45962129930.0,kis
329180,HD현대중공업,운송장비·부품,520000,442120.0,346780.5,0.6853,0.0,0.9068,0.8397,1.0,0.4,True,False,True,False,False,74.28,8.09,63.98,46162020320000,252447829450.0,kis
010140,삼성중공업,운송장비·부품,21300,18481.0,14761.9,0.6847,0.021,0.8902,0.8397,1.0,0.4,True,False,True,False,False,284.0,4.79,66.47,18744000000000,214621990196.0,kis
075580,세진중공업,운송장비·부품,15200,12286.2,9581.9,0.6782,0.04,0.8578,0.8397,1.0,0.8,True,True,True,False,True,76.0,4.6,71.32,864111731200,40513993383.0,kis
012450,한화에어로스페이스,운송장비·부품,884000,886120.0,660361.66,0.675,0.3078,0.6574,0.8397,1.0,0.2,False,False,True,False,False,19.22,8.17,48.61,45582046484000,146882802475.0,kis
082740,한화엔진,제조,47500,33304.0,25355.75,0.6613,0.0093,0.8314,0.8397,1.0,0.8,True,True,True,False,True,49.07,10.08,75.29,3963739245000,87541980410.0,kis
009150,삼성전기,전기전자,160500,145546.0,130758.0,0.6607,0.6834,0.9197,0.8397,0.0,0.4,True,False,True,False,False,17.86,1.38,62.05,11988338208000,50623931596.0,kis
077970,STX엔진,제조,43300,25992.0,23501.15,0.66,0.067,0.7867,0.8397,1.0,0.6,True,True,True,False,False,69.61,4.33,81.99,1738411127900,78131317920.0,kis
259960,크래프톤,IT서비스,327500,340290.0,344780.0,0.6433,0.6675,0.31,0.8397,1.0,0.2,False,False,True,False,False,11.45,2.18,46.5,15521281515000,42688194100.0,kis
097950,CJ제일제당,음식료·담배,229000,247650.0,248615.0,0.6229,0.7053,0.2246,0.8397,1.0,0.0,False,False,False,False,False,24.77,0.47,33.7,3447408594000,59332721600.0,kis
051910,LG화학,화학,277500,271010.0,247971.5,0.619,0.435,0.9781,0.8397,0.0,0.4,False,False,True,True,False,0.0,0.65,46.71,19589375182500,49644216182.0,kis
015760,한국전력,전기·가스,36350,37575.0,26963.2,0.6041,0.8752,0.6209,0.8397,0.0,0.0,False,False,False,False,False,6.68,0.58,43.14,23335394198950,82130115475.0,kis
000150,두산,금융,560000,582740.0,385551.0,0.5987,0.0,0.6592,0.8397,1.0,0.2,False,False,True,False,False,0.0,6.73,48.88,9253347600000,131977863700.0,kis
052690,한전기술,일반서비스,92400,95078.0,72122.0,0.5968,0.0,0.6538,0.8397,1.0,0.4,True,False,True,False,False,60.08,6.09,48.07,3531528000000,47425263570.0,kis
034020,두산에너빌리티,제조,61700,64096.0,36107.05,0.5944,0.0,0.6469,0.8397,1.0,0.4,False,True,True,False,False,354.6,5.27,47.04,39522622708200,376511460460.0,kis
017670,SK텔레콤,통신,54200,55876.0,55743.0,0.5703,0.8072,0.573,0.8397,0.0,0.0,False,False,False,False,False,9.38,0.99,35.95,11641620872600,43480613290.0,kis
006400,삼성SDI,전기전자,207000,194998.0,207297.51,0.5689,0.692,0.6514,0.8397,0.0,0.4,True,True,False,False,False,23.6,0.72,47.71,16681204710000,89021564700.0,kis
005490,POSCO홀딩스,금속,285500,301130.0,277717.5,0.5635,0.7634,0.5848,0.8397,0.0,0.0,False,False,False,False,False,19.76,0.39,37.72,23106357796000,57121794000.0,kis
000660,SK하이닉스,전기전자,269000,271530.0,213536.5,0.5565,0.6554,0.642,0.8397,0.0,0.2,False,False,True,False,False,9.36,2.51,53.7,195832636185000,719505454972.6,kis
267260,HD현대일렉트릭,전기전자,492500,480450.0,392750.0,0.5455,0.1466,0.9741,0.8397,0.0,0.2,False,False,True,False,False,35.34,11.8,53.89,17753213987500,54285803794.8,kis
005935,삼성전자우,전기전자,56600,54720.0,48351.0,0.5163,0.0,0.9954,0.8397,0.0,0.0,False,False,False,False,False,0.0,0.0,49.31,46184165982400,78595596455.6,kis
298040,효성중공업,전기전자,1240000,1083840.0,634407.5,0.4943,0.0,0.9324,0.8397,0.0,0.6,True,True,True,False,False,51.86,6.05,60.14,11562439520000,195341476000.0,kis
007660,이수페타시스,전기전자,66600,58658.0,39748.75,0.4868,0.0,0.9109,0.8397,0.0,0.4,True,False,True,False,False,58.47,13.22,63.36,4889053985400,92205926470.0,kis
000720,현대건설,건설,62100,69038.0,45076.25,0.4863,0.413,0.6147,0.8397,0.0,0.2,False,False,True,False,False,0.0,0.87,42.2,6915193006500,50243316500.0,kis
272210,한화시스템,전기전자,50900,55433.0,38845.35,0.4862,0.4078,0.6181,0.8397,0.0,0.2,False,False,True,False,False,21.02,3.82,42.71,9615996900100,48546119220.0,kis
278470,에이피알,화학,227000,182800.0,97634.75,0.4837,0.0,0.9023,0.8397,0.0,0.4,True,False,True,False,False,78.96,26.13,64.65,8496758685000,94847703850.0,kis
336260,두산퓨얼셀,전기전자,28600,23911.0,18185.15,0.4806,0.031,0.8712,0.8397,0.0,0.4,True,False,True,False,False,0.0,4.69,69.31,1873120563600,48241905650.0,kis
097230,HJ중공업,건설,18880,10175.2,7291.05,0.4606,0.042,0.8062,0.8397,0.0,0.6,True,True,True,False,False,295.0,4.58,79.07,1572218425280,113505671159.0,kis
068270,셀트리온,제약,167600,173276.0,167954.08,0.4472,0.286,0.5935,0.8397,0.0,0.0,False,False,False,False,False,88.96,2.14,39.02,38705402210400,59652309860.0,kis
066970,엘앤에프,전기전자,66000,65630.0,74817.5,0.4222,0.19,0.5908,0.8397,0.0,0.0,False,False,False,False,False,0.0,3.1,38.62,2396867484000,50223028850.0,kis
003670,포스코퓨처엠,전기전자,141300,142410.0,138852.47,0.4137,0.12,0.6164,0.8397,0.0,0.2,False,True,False,False,False,0.0,3.8,42.46,12568100886000,41317124000.0,kis
373220,LG에너지솔루션,전기전자,352000,346350.0,346482.5,0.4086,0.11,0.609,0.8397,0.0,0.0,False,False,False,False,False,0.0,3.9,41.35,82368000000000,66016978500.0,kis
079550,LIG넥스원,금속,489500,556550.0,356876.0,0.38,0.0188,0.5926,0.8397,0.0,0.2,False,False,True,False,False,48.12,8.81,38.88,10769000000000,161234424450.0,kis
011790,SKC,화학,93800,102558.0,113123.0,0.3156,0.227,0.2597,0.8397,0.0,0.0,False,False,False,False,False,0.0,2.73,38.95,3552046352400,66166628400.0,kis
207940,삼성바이오로직스,제약,1001000,1033620.0,1033690.0,0.2589,0.0,0.2598,0.8397,0.0,0.0,False,False,False,False,False,65.76,6.53,38.97,71245174000000,59001994600.0,kis
